run,competition,variant,k,cum_hours,score,medal,lower_better,file,note,metric_version,grader_sha256,mlebench_version,mlebench_commit
20260914_062456_jubias-base-gpt56sol-s61,jigsaw-unintended-bias-in-toxicity-classification,capped,1,1.8,0.93073,-,0,top1ens-total_run_time1.8h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
20260914_062456_jubias-base-gpt56sol-s61,jigsaw-unintended-bias-in-toxicity-classification,capped,2,2.45,0.93373,-,0,top2ens-total_run_time2.45h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
20260914_062456_jubias-base-gpt56sol-s61,jigsaw-unintended-bias-in-toxicity-classification,capped,3,4.35,0.93308,-,0,top3ens-total_run_time4.35h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
20260914_062456_jubias-base-gpt56sol-s61,jigsaw-unintended-bias-in-toxicity-classification,capped,4,5.69,0.93229,-,0,top4ens-total_run_time5.69h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
20260914_062456_jubias-base-gpt56sol-s61,jigsaw-unintended-bias-in-toxicity-classification,capped,6,8.15,0.92936,-,0,top6ens-total_run_time8.15h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
20260914_070227_jubias-base-gpt56sol-s62,jigsaw-unintended-bias-in-toxicity-classification,capped,1,1.72,0.92186,-,0,top1ens-total_run_time1.72h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
20260914_070227_jubias-base-gpt56sol-s62,jigsaw-unintended-bias-in-toxicity-classification,capped,2,3.48,0.92328,-,0,top2ens-total_run_time3.48h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
20260914_070227_jubias-base-gpt56sol-s62,jigsaw-unintended-bias-in-toxicity-classification,capped,3,4.78,0.923,-,0,top3ens-total_run_time4.78h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
20260914_070227_jubias-base-gpt56sol-s62,jigsaw-unintended-bias-in-toxicity-classification,capped,4,6.48,0.92519,-,0,top4ens-total_run_time6.48h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
20260914_070227_jubias-base-gpt56sol-s62,jigsaw-unintended-bias-in-toxicity-classification,capped,6,8.79,0.9264,-,0,top6ens-total_run_time8.79h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
20260914_070253_jubias-anaf-gpt56sol-s62,jigsaw-unintended-bias-in-toxicity-classification,capped,1,1.85,0.9336,-,0,top1ens-total_run_time1.85h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
20260914_070253_jubias-anaf-gpt56sol-s62,jigsaw-unintended-bias-in-toxicity-classification,capped,2,3.2,0.93327,-,0,top2ens-total_run_time3.2h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
20260914_070253_jubias-anaf-gpt56sol-s62,jigsaw-unintended-bias-in-toxicity-classification,capped,3,4.55,0.93529,above-med,0,top3ens-total_run_time4.55h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
20260914_070253_jubias-anaf-gpt56sol-s62,jigsaw-unintended-bias-in-toxicity-classification,capped,4,6.41,0.93683,above-med,0,top4ens-total_run_time6.41h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
20260914_070847_jubias-anaf-gpt56sol-s61,jigsaw-unintended-bias-in-toxicity-classification,capped,1,1.8,0.90872,-,0,top1ens-total_run_time1.8h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
20260914_070847_jubias-anaf-gpt56sol-s61,jigsaw-unintended-bias-in-toxicity-classification,capped,2,3.1,0.91293,-,0,top2ens-total_run_time3.1h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
20260914_070847_jubias-anaf-gpt56sol-s61,jigsaw-unintended-bias-in-toxicity-classification,capped,3,4.9,0.91358,-,0,top3ens-total_run_time4.9h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
20260914_070847_jubias-anaf-gpt56sol-s61,jigsaw-unintended-bias-in-toxicity-classification,capped,4,6.6,0.9162,-,0,top4ens-total_run_time6.6h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
20260914_071735_jubias-base-gpt56sol-s60,jigsaw-unintended-bias-in-toxicity-classification,capped,1,1.87,0.91786,-,0,top1ens-total_run_time1.87h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
20260914_071735_jubias-base-gpt56sol-s60,jigsaw-unintended-bias-in-toxicity-classification,capped,2,3.75,0.91885,-,0,top2ens-total_run_time3.75h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
20260914_071735_jubias-base-gpt56sol-s60,jigsaw-unintended-bias-in-toxicity-classification,capped,3,5.65,0.91937,-,0,top3ens-total_run_time5.65h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
20260914_071735_jubias-base-gpt56sol-s60,jigsaw-unintended-bias-in-toxicity-classification,capped,4,6.99,0.9221,-,0,top4ens-total_run_time6.99h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
20260914_071735_jubias-base-gpt56sol-s60,jigsaw-unintended-bias-in-toxicity-classification,capped,6,8.32,0.92615,-,0,top6ens-total_run_time8.32h.csv,,jubias-continuous-auc-v1,000e216bc0faea8041e11a7f4dccc873e84f18c9d0a27f00bf5ebddb7b0dcd61,1.0.0,
