task,run_id,arm,stage,view,pair_id,n_candidates,n_available,n_missing,n_errors,n_pending,n_changed,n_no_change,n_insufficient,changed_fraction,no_change_fraction,insufficient_fraction,n_valid,n_failed,n_missing_parent,usable_h,issue,inventory_verdict
jigsaw-unintended-bias-in-toxicity-classification,20260914_062456_jubias-base-gpt56sol-s61,A,draft,implementation,,4,4,0,0,0,0,0,0,,,,2,2,0,12.0,,
jigsaw-unintended-bias-in-toxicity-classification,20260914_062456_jubias-base-gpt56sol-s61,A,draft,proposal,,4,4,0,0,0,0,0,0,,,,2,2,0,12.0,,
jigsaw-unintended-bias-in-toxicity-classification,20260914_062456_jubias-base-gpt56sol-s61,A,improve,implementation,,3,2,0,0,0,2,0,1,0.6666666666666666,0.0,0.3333333333333333,2,1,0,12.0,incomplete_or_too_few_candidates,
jigsaw-unintended-bias-in-toxicity-classification,20260914_062456_jubias-base-gpt56sol-s61,A,improve,proposal,,3,3,0,0,0,0,0,0,,,,2,1,0,12.0,,
jigsaw-unintended-bias-in-toxicity-classification,20260914_070227_jubias-base-gpt56sol-s62,A,draft,implementation,,5,5,0,0,0,0,0,0,,,,4,1,0,12.0,,
jigsaw-unintended-bias-in-toxicity-classification,20260914_070227_jubias-base-gpt56sol-s62,A,draft,proposal,,5,5,0,0,0,0,0,0,,,,4,1,0,12.0,,
jigsaw-unintended-bias-in-toxicity-classification,20260914_070227_jubias-base-gpt56sol-s62,A,improve,implementation,,5,5,0,0,0,5,0,0,1.0,0.0,0.0,5,0,0,12.0,,
jigsaw-unintended-bias-in-toxicity-classification,20260914_070227_jubias-base-gpt56sol-s62,A,improve,proposal,,5,5,0,0,0,0,0,0,,,,5,0,0,12.0,,
jigsaw-unintended-bias-in-toxicity-classification,20260914_070253_jubias-anaf-gpt56sol-s62,F,draft,implementation,,3,3,0,0,0,0,0,0,,,,3,0,0,12.0,,
jigsaw-unintended-bias-in-toxicity-classification,20260914_070253_jubias-anaf-gpt56sol-s62,F,draft,proposal,,3,3,0,0,0,0,0,0,,,,3,0,0,12.0,,
jigsaw-unintended-bias-in-toxicity-classification,20260914_070253_jubias-anaf-gpt56sol-s62,F,improve,implementation,,5,5,0,0,0,5,0,0,1.0,0.0,0.0,5,0,0,12.0,,
jigsaw-unintended-bias-in-toxicity-classification,20260914_070253_jubias-anaf-gpt56sol-s62,F,improve,proposal,,5,5,0,0,0,0,0,0,,,,5,0,0,12.0,,
jigsaw-unintended-bias-in-toxicity-classification,20260914_070847_jubias-anaf-gpt56sol-s61,F,draft,implementation,,3,3,0,0,0,0,0,0,,,,2,1,0,12.0,,
jigsaw-unintended-bias-in-toxicity-classification,20260914_070847_jubias-anaf-gpt56sol-s61,F,draft,proposal,,3,3,0,0,0,0,0,0,,,,2,1,0,12.0,,
jigsaw-unintended-bias-in-toxicity-classification,20260914_070847_jubias-anaf-gpt56sol-s61,F,improve,implementation,,3,3,0,0,0,3,0,0,1.0,0.0,0.0,3,0,0,12.0,,
jigsaw-unintended-bias-in-toxicity-classification,20260914_070847_jubias-anaf-gpt56sol-s61,F,improve,proposal,,3,3,0,0,0,0,0,0,,,,3,0,0,12.0,,
jigsaw-unintended-bias-in-toxicity-classification,20260914_043431_jubias-anaf-gpt56sol-s62,F,,,,,,,,,,,,,,,,,,2.2,excluded_inventory_verdict,invalid
