task,stage,view,run_id,arm,pair_id,n_total,m,vendi,subset_low,subset_high,n_subsets
jigsaw-unintended-bias-in-toxicity-classification,draft,implementation,20260914_062456_jubias-base-gpt56sol-s61,A,,4,2,1.5449651583402773,1.4850127763963423,1.608346716784042,6
jigsaw-unintended-bias-in-toxicity-classification,draft,implementation,20260914_070227_jubias-base-gpt56sol-s62,A,,5,2,1.5954526308989065,1.4422921291608382,1.6710202351582522,10
jigsaw-unintended-bias-in-toxicity-classification,draft,implementation,20260914_070253_jubias-anaf-gpt56sol-s62,F,,3,2,1.6279028966816826,1.526946148266941,1.7053650194467667,3
jigsaw-unintended-bias-in-toxicity-classification,draft,implementation,20260914_070847_jubias-anaf-gpt56sol-s61,F,,3,2,1.577919623649489,1.4995025435399492,1.7004984811868102,3
jigsaw-unintended-bias-in-toxicity-classification,draft,implementation,20260914_062456_jubias-base-gpt56sol-s61,A,,4,3,1.929794253021166,1.8840703921362654,1.9948587529697535,4
jigsaw-unintended-bias-in-toxicity-classification,draft,implementation,20260914_070227_jubias-base-gpt56sol-s62,A,,5,3,2.0309080360806435,1.8889918838652004,2.135226023159326,10
jigsaw-unintended-bias-in-toxicity-classification,draft,implementation,20260914_070253_jubias-anaf-gpt56sol-s62,F,,3,3,2.092290208510691,2.092290208510691,2.092290208510691,1
jigsaw-unintended-bias-in-toxicity-classification,draft,implementation,20260914_070847_jubias-anaf-gpt56sol-s61,F,,3,3,1.981711920935475,1.981711920935475,1.981711920935475,1
jigsaw-unintended-bias-in-toxicity-classification,draft,proposal,20260914_062456_jubias-base-gpt56sol-s61,A,,4,2,1.8054587387231313,1.667878622479636,1.9336149313254243,6
jigsaw-unintended-bias-in-toxicity-classification,draft,proposal,20260914_070227_jubias-base-gpt56sol-s62,A,,5,2,1.765548653808711,1.638526241684049,1.820023338006017,10
jigsaw-unintended-bias-in-toxicity-classification,draft,proposal,20260914_070253_jubias-anaf-gpt56sol-s62,F,,3,2,1.6678718418415241,1.6353267053706215,1.7268534564035258,3
jigsaw-unintended-bias-in-toxicity-classification,draft,proposal,20260914_070847_jubias-anaf-gpt56sol-s61,F,,3,2,1.6517711217213626,1.572205309756591,1.7026293616755142,3
jigsaw-unintended-bias-in-toxicity-classification,draft,proposal,20260914_062456_jubias-base-gpt56sol-s61,A,,4,3,2.4815638784721123,2.41122124154835,2.6366370079638184,4
jigsaw-unintended-bias-in-toxicity-classification,draft,proposal,20260914_070227_jubias-base-gpt56sol-s62,A,,5,3,2.4025901642912877,2.277677566090842,2.503572380114821,10
jigsaw-unintended-bias-in-toxicity-classification,draft,proposal,20260914_070253_jubias-anaf-gpt56sol-s62,F,,3,3,2.1842142118735035,2.1842142118735035,2.1842142118735035,1
jigsaw-unintended-bias-in-toxicity-classification,draft,proposal,20260914_070847_jubias-anaf-gpt56sol-s61,F,,3,3,2.147292392830714,2.147292392830714,2.147292392830714,1
jigsaw-unintended-bias-in-toxicity-classification,improve,implementation,20260914_062456_jubias-base-gpt56sol-s61,A,,2,2,1.8092327881092978,1.8092327881092978,1.8092327881092978,1
jigsaw-unintended-bias-in-toxicity-classification,improve,implementation,20260914_070227_jubias-base-gpt56sol-s62,A,,5,2,1.8262055250129219,1.6260954541848847,1.9246327195992756,10
jigsaw-unintended-bias-in-toxicity-classification,improve,implementation,20260914_070253_jubias-anaf-gpt56sol-s62,F,,5,2,1.8267550022379235,1.6725952367889023,1.9444812837551584,10
jigsaw-unintended-bias-in-toxicity-classification,improve,implementation,20260914_070847_jubias-anaf-gpt56sol-s61,F,,3,2,1.7786273716178835,1.6407837318955634,1.9028446566389954,3
jigsaw-unintended-bias-in-toxicity-classification,improve,proposal,20260914_062456_jubias-base-gpt56sol-s61,A,,3,2,1.681481140324674,1.4052198713000772,1.8457952529940387,3
jigsaw-unintended-bias-in-toxicity-classification,improve,proposal,20260914_070227_jubias-base-gpt56sol-s62,A,,5,2,1.719683083146755,1.4985869493030526,1.8236660356973016,10
jigsaw-unintended-bias-in-toxicity-classification,improve,proposal,20260914_070253_jubias-anaf-gpt56sol-s62,F,,5,2,1.6351783716595816,1.4698685140652907,1.7618532412760135,10
jigsaw-unintended-bias-in-toxicity-classification,improve,proposal,20260914_070847_jubias-anaf-gpt56sol-s61,F,,3,2,1.6504213737691353,1.5741879009557609,1.7788729725368024,3
jigsaw-unintended-bias-in-toxicity-classification,improve,proposal,20260914_062456_jubias-base-gpt56sol-s61,A,,3,3,2.1500336316236788,2.1500336316236788,2.1500336316236788,1
jigsaw-unintended-bias-in-toxicity-classification,improve,proposal,20260914_070227_jubias-base-gpt56sol-s62,A,,5,3,2.290268869656591,2.0979854503785207,2.4693161005624846,10
jigsaw-unintended-bias-in-toxicity-classification,improve,proposal,20260914_070253_jubias-anaf-gpt56sol-s62,F,,5,3,2.111402436917561,1.9208442681620221,2.2882057542084873,10
jigsaw-unintended-bias-in-toxicity-classification,improve,proposal,20260914_070847_jubias-anaf-gpt56sol-s61,F,,3,3,2.130337331896275,2.130337331896275,2.130337331896275,1
