run,task,verdict,control_run,n_nodes,n_improve,n_with_report,n_invocations,n_invocations_ok,n_mechanisms,n_valid_children,n_adopted,adoption_source,delta_adopted_mean,delta_not_adopted_mean,delta_control_mean,n_cites,n_papers,venue_nlp,venue_ml,venue_vision,venue_ai,venue_other,top3_share,distinct_title_ratio,n_queries,domain_query_share,mean_turns,mean_in_tokens,mean_seconds,score_effect_D_minus_A
20260903_010254_essay-ana-s49,essay,ok,20260903_005101_essay-base-s49,24,11,11,12,12,22,7,11,proxy,-0.00546,,0.01519,36,17,0.417,0.278,0.111,0.194,0.0,0.389,1.0,165,0.127,3.66667,47467.83333,67.94167,-0.0023800000000000487
20260903_203358_jubias-ana-s46,jigsaw-unintended-bias-in-toxicity-classification,invalid,,7,0,0,0,0,0,0,0,proxy,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,-0.24419000000000002
20260903_205054_jubias-ana-s47,jigsaw-unintended-bias-in-toxicity-classification,invalid,,12,0,0,0,0,0,0,0,proxy,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.17933999999999994
20260903_225058_jubias-ana-s45,jigsaw-unintended-bias-in-toxicity-classification,ok,,10,0,0,2,2,0,0,0,proxy,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.071,3.5,47773.0,73.8,0.10402999999999996
20260905_004447_jubias-ana-s47,jigsaw-unintended-bias-in-toxicity-classification,invalid,,3,0,0,0,0,0,0,0,proxy,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.17933999999999994
20260905_005525_jubias-ana-s46,jigsaw-unintended-bias-in-toxicity-classification,ok,20260905_005038_jubias-base-s46,11,2,2,3,3,4,1,2,proxy,-6e-05,,,6,6,0.167,0.667,0.0,0.167,0.0,0.5,1.0,38,0.079,3.33333,41593.66667,71.23333,-0.24419000000000002
20260905_011231_jubias-ana-s45,jigsaw-unintended-bias-in-toxicity-classification,ok,,7,1,1,1,1,2,0,1,proxy,,,,5,5,0.2,0.8,0.0,0.0,0.0,0.6,1.0,15,0.067,3.0,36111.0,71.8,0.10402999999999996
20260905_083801_jubias-ana-s47,jigsaw-unintended-bias-in-toxicity-classification,ok,,7,0,0,2,2,0,0,0,proxy,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.048,3.0,33780.0,64.3,0.17933999999999994
20260903_202943_tf2qa-ana-s44,tensorflow2-question-answering,invalid,,7,0,0,0,0,0,0,0,proxy,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
20260903_204632_tf2qa-ana-s42,tensorflow2-question-answering,invalid,,13,0,0,0,0,0,0,0,proxy,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
20260905_005808_tf2qa-ana-s42,tensorflow2-question-answering,invalid,,2,0,0,0,0,0,0,0,proxy,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
