run,competition,variant,k,cum_hours,score,medal,lower_better,file,note
20260804_053916_spooky-author-identification,spooky-author-identification,uncapped,1,0.02,0.34042,above-med,1,top1ens-total_run_time0.02h.csv,
20260804_053916_spooky-author-identification,spooky-author-identification,uncapped,2,0.04,0.34309,above-med,1,top2ens-total_run_time0.04h.csv,
20260804_053916_spooky-author-identification,spooky-author-identification,uncapped,3,0.08,0.34739,above-med,1,top3ens-total_run_time0.08h.csv,
20260804_062305_spooky-kb,spooky-author-identification,capped,1,0.18,0.3027,above-med,1,top1ens-total_run_time0.18h.csv,
20260804_062305_spooky-kb,spooky-author-identification,capped,2,0.2,0.30156,above-med,1,top2ens-total_run_time0.2h.csv,
20260804_062305_spooky-kb,spooky-author-identification,capped,3,0.27,0.29532,above-med,1,top3ens-total_run_time0.27h.csv,
20260804_062305_spooky-kb,spooky-author-identification,capped,4,0.36,0.28988,bronze,1,top4ens-total_run_time0.36h.csv,
20260804_062305_spooky-kb,spooky-author-identification,capped,6,2.42,0.28829,bronze,1,top6ens-total_run_time2.42h.csv,
20260804_062305_spooky-kb,spooky-author-identification,uncapped,10,3.13,0.29047,bronze,1,top10ens-total_run_time3.13h.csv,
20260804_062305_spooky-kb,spooky-author-identification,uncapped,11,3.32,0.29167,bronze,1,top11ens-total_run_time3.32h.csv,
20260804_062305_spooky-kb,spooky-author-identification,uncapped,12,5.5,0.29288,bronze,1,top12ens-total_run_time5.5h.csv,
20260804_062305_spooky-kb,spooky-author-identification,uncapped,1,0.18,0.3027,above-med,1,top1ens-total_run_time0.18h.csv,
20260804_062305_spooky-kb,spooky-author-identification,uncapped,2,0.2,0.30156,above-med,1,top2ens-total_run_time0.2h.csv,
20260804_062305_spooky-kb,spooky-author-identification,uncapped,3,0.27,0.29532,above-med,1,top3ens-total_run_time0.27h.csv,
20260804_062305_spooky-kb,spooky-author-identification,uncapped,4,0.36,0.28988,bronze,1,top4ens-total_run_time0.36h.csv,
20260804_062305_spooky-kb,spooky-author-identification,uncapped,5,2.36,0.28866,bronze,1,top5ens-total_run_time2.36h.csv,
20260804_062305_spooky-kb,spooky-author-identification,uncapped,6,2.42,0.28829,bronze,1,top6ens-total_run_time2.42h.csv,
20260804_062305_spooky-kb,spooky-author-identification,uncapped,7,2.89,0.28892,bronze,1,top7ens-total_run_time2.89h.csv,
20260804_062305_spooky-kb,spooky-author-identification,uncapped,8,3.07,0.28918,bronze,1,top8ens-total_run_time3.07h.csv,
20260804_062305_spooky-kb,spooky-author-identification,uncapped,9,3.1,0.28975,bronze,1,top9ens-total_run_time3.1h.csv,
20260804_063628_spooky-base,spooky-author-identification,uncapped,10,5.05,0.33364,above-med,1,top10ens-total_run_time5.05h.csv,
