name,path,task,exp_id,seed,arm,wiring,retrieval,model,started,log_last,log_span_h,node_span_h,n_ratelimit,first_ratelimit_h,usable_h,usable_fraction,direction_defaulted,direction_validated,n_nodes,n_buggy,n_valid,buggy_fraction,best_metric,maximize_used,n_top_solutions,n_ensembles,wrapper_completed,nan_in_ensembles,n_real_crashes,verdict,reasons,flags
20260726_082638_openadmet,results/8.17/runs/20260726_082638_openadmet,openadmet,openadmet,42,A,legacy,vector,"${oc.env:LLM_MODEL,claude-opus-4-8}",2026-07-26 08:26:38,2026-07-26 08:41:26,0.25,0.0,0,-1.0,0.25,0.021,True,,0,0,0,0.0,,,0,0,False,False,3,invalid,no_journal;insufficient_runtime;log_truncated;crashed;metric_direction_defaulted;no_submission,few_valid_candidates
20260726_091856_openadmet,results/8.17/runs/20260726_091856_openadmet,openadmet,openadmet,42,A,legacy,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-07-26 09:18:56,2026-07-26 09:39:49,0.35,0.06,0,-1.0,0.35,0.029,True,,3,3,0,1.0,,,0,0,False,False,0,invalid,insufficient_runtime;log_truncated;metric_direction_defaulted;no_submission,few_valid_candidates;mostly_buggy
20260726_194635_openadmet,results/8.17/runs/20260726_194635_openadmet,openadmet,openadmet,42,A,legacy,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-07-26 19:46:35,2026-07-26 20:26:03,0.66,0.06,0,-1.0,12.0,1.0,False,False,3,2,1,0.667,0.5124491849748382,False,1,1,True,False,0,invalid,log_truncated,few_valid_candidates
20260727_023725_openadmet,results/8.17/runs/20260727_023725_openadmet,openadmet,openadmet,42,A,legacy,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-07-27 02:37:25,2026-07-27 03:46:29,1.15,0.72,219,1.06,1.06,0.088,False,False,25,12,13,0.48,0.46407833704845075,False,12,0,False,False,0,invalid,ratelimit_truncated;api_starved;terminated_early;log_truncated,
20260727_035110_openadmet,results/8.17/runs/20260727_035110_openadmet,openadmet,openadmet,42,A,legacy,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-07-27 03:51:10,2026-07-27 15:11:24,11.34,6.46,0,-1.0,12.0,1.0,False,False,76,20,56,0.263,0.42637601888076637,False,19,5,True,False,0,ok,,
20260729_055555_openadmet-kb,results/8.17/runs/20260729_055555_openadmet-kb,,,,,,,,2026-07-29 05:55:55,2026-07-29 06:07:33,0.19,0.0,0,-1.0,0.19,0.016,False,,0,0,0,0.0,,,0,0,False,False,0,invalid,no_journal;insufficient_runtime;log_truncated;no_submission,few_valid_candidates
20260729_061517_openadmet-kb,results/8.17/runs/20260729_061517_openadmet-kb,,,,,,,,2026-07-29 06:15:17,2026-07-29 06:21:13,0.1,0.0,0,-1.0,0.1,0.008,False,,0,0,0,0.0,,,0,0,False,False,0,invalid,no_journal;insufficient_runtime;log_truncated;no_submission,few_valid_candidates
20260729_095132_openadmet-kb,results/8.17/runs/20260729_095132_openadmet-kb,openadmet,openadmet,42,B,legacy,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-07-29 09:51:32,2026-07-29 21:11:01,11.32,9.7,0,-1.0,12.0,1.0,False,False,67,32,35,0.478,0.44933516524853684,False,20,5,True,False,0,superseded,legacy_injection_wiring,
20260801_045529_openadmet-kb,results/8.17/runs/20260801_045529_openadmet-kb,openadmet,openadmet,42,B,legacy,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-01 04:55:29,2026-08-01 16:54:15,11.98,11.68,0,-1.0,12.0,1.0,False,False,80,26,54,0.325,0.19189210563928255,False,20,5,True,False,0,superseded,legacy_injection_wiring,
20260802_210348_openadmet-kb,results/8.17/runs/20260802_210348_openadmet-kb,openadmet,openadmet,42,B,legacy,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-02 21:03:48,2026-08-03 08:55:52,11.87,10.33,0,-1.0,12.0,1.0,False,False,58,18,40,0.31,0.42201521427947064,False,20,5,True,False,0,superseded,legacy_injection_wiring,
20260804_053916_spooky-author-identification,results/8.17/runs/20260804_053916_spooky-author-identification,spooky,spooky-author-identification,42,A,legacy,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-04 05:39:16,2026-08-04 06:08:30,0.49,0.38,0,-1.0,0.49,0.041,False,False,11,8,3,0.727,0.342529992370372,False,3,0,False,False,0,invalid,insufficient_runtime;terminated_early;log_truncated,
20260804_061008_spooky-kb,results/8.17/runs/20260804_061008_spooky-kb,,,,,,,,2026-08-04 06:10:08,2026-08-04 06:10:08,0.0,0.0,0,-1.0,0.0,0.0,False,,0,0,0,0.0,,,0,0,False,False,0,invalid,no_journal;insufficient_runtime;log_truncated;no_submission,few_valid_candidates
20260804_062305_spooky-kb,results/8.17/runs/20260804_062305_spooky-kb,spooky,spooky-author-identification,42,B,legacy,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-04 06:23:05,2026-08-04 17:12:32,10.82,9.26,0,-1.0,12.0,1.0,False,False,59,30,29,0.508,0.3138505170151829,False,19,5,True,False,0,superseded,legacy_injection_wiring,
