name,path,task,exp_id,seed,arm,wiring,retrieval,model,started,log_last,log_span_h,node_span_h,n_ratelimit,first_ratelimit_h,usable_h,usable_fraction,direction_defaulted,direction_validated,n_nodes,n_buggy,n_valid,buggy_fraction,n_coded,custom_arch_fraction,best_metric,maximize_used,n_top_solutions,n_ensembles,wrapper_completed,nan_in_ensembles,n_real_crashes,verdict,reasons,flags
20260726_082638_openadmet,/Users/william/nautilus/results/20260726_082638_openadmet,openadmet,openadmet,42,A,legacy,vector,"${oc.env:LLM_MODEL,claude-opus-4-8}",2026-07-26 08:26:38,2026-07-26 08:41:26,0.25,0.0,0,-1.0,0.25,0.021,True,,0,0,0,0.0,0,0.0,,,0,0,False,False,3,invalid,no_journal;insufficient_runtime;log_truncated;crashed;metric_direction_defaulted;no_submission,few_valid_candidates
20260726_091856_openadmet,/Users/william/nautilus/results/20260726_091856_openadmet,openadmet,openadmet,42,A,legacy,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-07-26 09:18:56,2026-07-26 09:39:49,0.35,0.06,0,-1.0,0.35,0.029,True,,3,3,0,1.0,3,0.667,,,0,0,False,False,0,invalid,insufficient_runtime;log_truncated;metric_direction_defaulted;no_submission,few_valid_candidates;mostly_buggy
20260726_194635_openadmet,/Users/william/nautilus/results/20260726_194635_openadmet,openadmet,openadmet,42,A,legacy,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-07-26 19:46:35,2026-07-26 20:26:03,0.66,0.06,0,-1.0,12.0,1.0,False,False,3,2,1,0.667,3,0.667,0.5124491849748382,False,0,1,True,False,0,invalid,log_truncated,few_valid_candidates
20260727_023725_openadmet,/Users/william/nautilus/results/20260727_023725_openadmet,openadmet,openadmet,42,A,legacy,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-07-27 02:37:25,2026-07-27 03:46:29,1.15,0.72,219,1.06,1.06,0.088,False,False,25,12,13,0.48,25,1.0,0.46407833704845075,False,0,0,False,False,0,invalid,ratelimit_truncated;api_starved;log_truncated;no_submission,
20260727_035110_openadmet,/Users/william/nautilus/results/20260727_035110_openadmet,openadmet,openadmet,42,A,legacy,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-07-27 03:51:10,2026-07-27 15:11:24,11.34,6.46,0,-1.0,12.0,1.0,False,False,76,20,56,0.263,76,1.0,0.42637601888076637,False,0,5,True,False,0,ok,,
20260729_055555_openadmet-kb,/Users/william/nautilus/results/20260729_055555_openadmet-kb,,,,,,,,2026-07-29 05:55:55,2026-07-29 06:07:33,0.19,0.0,0,-1.0,0.19,0.016,False,,0,0,0,0.0,0,0.0,,,0,0,False,False,0,invalid,no_journal;insufficient_runtime;log_truncated;no_submission,few_valid_candidates
20260729_061517_openadmet-kb,/Users/william/nautilus/results/20260729_061517_openadmet-kb,,,,,,,,2026-07-29 06:15:17,2026-07-29 06:21:13,0.1,0.0,0,-1.0,0.1,0.008,False,,0,0,0,0.0,0,0.0,,,0,0,False,False,0,invalid,no_journal;insufficient_runtime;log_truncated;no_submission,few_valid_candidates
20260729_095132_openadmet-kb,/Users/william/nautilus/results/20260729_095132_openadmet-kb,openadmet,openadmet,42,B,legacy,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-07-29 09:51:32,2026-07-29 21:11:01,11.32,9.7,0,-1.0,12.0,1.0,False,False,67,32,35,0.478,67,0.91,0.44933516524853684,False,0,5,True,False,0,superseded,legacy_injection_wiring,
20260801_045529_openadmet-kb,/Users/william/nautilus/results/20260801_045529_openadmet-kb,openadmet,openadmet,42,B,legacy,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-01 04:55:29,2026-08-01 16:54:15,11.98,11.68,0,-1.0,12.0,1.0,False,False,80,26,54,0.325,80,0.95,0.19189210563928255,False,0,5,True,False,0,superseded,legacy_injection_wiring,
20260802_210348_openadmet-kb,/Users/william/nautilus/results/20260802_210348_openadmet-kb,openadmet,openadmet,42,B,legacy,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-02 21:03:48,2026-08-03 08:55:52,11.87,10.33,0,-1.0,12.0,1.0,False,False,58,18,40,0.31,58,0.966,0.42201521427947064,False,0,5,True,False,0,superseded,legacy_injection_wiring,
20260804_053916_spooky-author-identification,/Users/william/nautilus/results/20260804_053916_spooky-author-identification,spooky,spooky-author-identification,42,A,legacy,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-04 05:39:16,2026-08-04 06:08:30,0.49,0.38,0,-1.0,0.49,0.041,False,False,11,8,3,0.727,11,0.364,0.342529992370372,False,0,0,False,False,0,invalid,insufficient_runtime;log_truncated;no_submission,
20260804_061008_spooky-kb,/Users/william/nautilus/results/20260804_061008_spooky-kb,,,,,,,,2026-08-04 06:10:08,2026-08-04 06:10:08,0.0,0.0,0,-1.0,0.0,0.0,False,,0,0,0,0.0,0,0.0,,,0,0,False,False,0,invalid,no_journal;insufficient_runtime;log_truncated;no_submission,few_valid_candidates
20260804_062305_spooky-kb,/Users/william/nautilus/results/20260804_062305_spooky-kb,spooky,spooky-author-identification,42,B,legacy,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-04 06:23:05,2026-08-04 17:12:32,10.82,9.26,0,-1.0,12.0,1.0,False,False,59,30,29,0.508,59,0.678,0.3138505170151829,False,0,5,True,False,0,superseded,legacy_injection_wiring,
20260804_063628_spooky-base,/Users/william/nautilus/results/20260804_063628_spooky-base,spooky,spooky-author-identification,42,A,legacy,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-04 06:36:28,2026-08-04 13:33:17,6.95,4.9,0,-1.0,6.95,0.579,False,False,33,18,15,0.545,33,0.455,0.3401899790107183,False,0,0,False,False,0,invalid,insufficient_runtime;no_submission,
20260804_181406_spooky-base,/Users/william/nautilus/results/20260804_181406_spooky-base,spooky,spooky-author-identification,42,A,legacy,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-04 18:14:06,2026-08-05 06:04:49,11.85,10.67,0,-1.0,12.0,1.0,False,False,32,14,18,0.438,32,0.594,0.27037866777263175,False,0,5,True,False,0,ok,,
20260807_054111_jigsaw-base,/Users/william/nautilus/results/20260807_054111_jigsaw-base,jigsaw,jigsaw-toxic-comment-classification-challenge,42,A,legacy,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-07 05:41:11,2026-08-07 17:21:28,11.67,9.76,0,-1.0,12.0,1.0,False,True,15,10,5,0.667,15,0.733,0.9897761870297518,True,0,4,True,False,0,ok,,
20260807_054255_jigsaw-kb,/Users/william/nautilus/results/20260807_054255_jigsaw-kb,jigsaw,jigsaw-toxic-comment-classification-challenge,42,B,legacy,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-07 05:42:55,2026-08-07 15:12:07,9.49,4.75,0,-1.0,12.0,1.0,False,True,14,9,5,0.643,14,0.714,0.9895478739064432,True,0,4,True,False,0,superseded,legacy_injection_wiring,
20260808_003820_jigsaw-base-s43,/Users/william/nautilus/results/20260808_003820_jigsaw-base-s43,jigsaw,jigsaw-toxic-comment-classification-challenge,43,A,legacy,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-08 00:38:20,2026-08-08 11:59:20,11.35,10.16,0,-1.0,12.0,1.0,False,True,16,7,9,0.438,16,1.0,0.9918027049853378,True,0,5,True,False,0,ok,,
20260808_003820_jigsaw-kb-s43,/Users/william/nautilus/results/20260808_003820_jigsaw-kb-s43,jigsaw,jigsaw-toxic-comment-classification-challenge,43,B,legacy,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-08 00:38:20,2026-08-08 12:18:26,11.67,11.36,0,-1.0,12.0,1.0,False,True,17,11,6,0.647,17,0.588,0.992785283077445,True,0,5,True,False,0,superseded,legacy_injection_wiring,
20260809_224437_jigsaw-base-s44,/Users/william/nautilus/results/20260809_224437_jigsaw-base-s44,jigsaw,jigsaw-toxic-comment-classification-challenge,44,A,legacy,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-09 22:44:37,2026-08-10 08:59:26,10.25,5.9,0,-1.0,12.0,1.0,False,True,20,10,10,0.5,20,1.0,0.9920682698213126,True,0,5,True,False,0,ok,,
20260809_224437_jigsaw-kb-s44,/Users/william/nautilus/results/20260809_224437_jigsaw-kb-s44,jigsaw,jigsaw-toxic-comment-classification-challenge,44,B,legacy,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-09 22:44:37,2026-08-10 10:04:10,11.33,10.72,0,-1.0,12.0,1.0,False,True,29,20,9,0.69,29,1.0,0.986574,True,0,5,True,False,0,superseded,legacy_injection_wiring,
20260812_223018_jigsaw-kbimp-s42,/Users/william/nautilus/results/20260812_223018_jigsaw-kbimp-s42,jigsaw,jigsaw-toxic-comment-classification-challenge,42,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-12 22:30:18,2026-08-13 09:31:29,11.02,10.79,0,-1.0,12.0,1.0,False,True,34,23,11,0.676,34,1.0,0.9930898771826776,True,0,3,True,False,0,ok,,
20260812_223028_jigsaw-kbfix-s42,/Users/william/nautilus/results/20260812_223028_jigsaw-kbfix-s42,jigsaw,jigsaw-toxic-comment-classification-challenge,42,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-12 22:30:29,2026-08-13 09:13:35,10.72,10.25,0,-1.0,12.0,1.0,False,True,19,15,4,0.789,19,0.579,0.9848153321192045,True,0,4,True,False,0,ok,,
20260813_215854_jigsaw-kbimp-s43,/Users/william/nautilus/results/20260813_215854_jigsaw-kbimp-s43,jigsaw,jigsaw-toxic-comment-classification-challenge,43,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-13 21:58:54,2026-08-14 08:47:08,10.8,8.11,0,-1.0,12.0,1.0,False,True,24,11,13,0.458,24,0.375,0.9866552622965342,True,0,5,True,False,0,ok,,
20260813_215855_jigsaw-kbfix-s43,/Users/william/nautilus/results/20260813_215855_jigsaw-kbfix-s43,jigsaw,jigsaw-toxic-comment-classification-challenge,43,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-13 21:58:55,2026-08-14 09:57:43,11.98,11.13,0,-1.0,12.0,1.0,False,True,22,15,7,0.682,22,1.0,0.9844873949919714,True,0,5,True,False,0,ok,,
20260814_201238_jigsaw-kbimp-s44,/Users/william/nautilus/results/20260814_201238_jigsaw-kbimp-s44,jigsaw,jigsaw-toxic-comment-classification-challenge,44,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-14 20:12:38,2026-08-15 05:37:15,9.41,3.4,0,-1.0,12.0,1.0,False,True,24,19,5,0.792,24,0.833,0.9895145555928023,True,0,3,True,False,0,ok,,
20260814_201239_jigsaw-kbfix-s44,/Users/william/nautilus/results/20260814_201239_jigsaw-kbfix-s44,jigsaw,jigsaw-toxic-comment-classification-challenge,44,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-14 20:12:39,2026-08-15 05:45:14,9.54,7.62,0,-1.0,12.0,1.0,False,True,19,10,9,0.526,19,0.684,0.9796857744990489,True,0,5,True,False,0,ok,,
20260814_223034_essay-base,/Users/william/nautilus/results/20260814_223034_essay-base,essay,learning-agency-lab-automated-essay-scoring-2,42,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-14 22:30:34,2026-08-15 08:48:31,10.3,0.97,0,-1.0,12.0,1.0,False,True,14,13,1,0.929,14,1.0,0.7879182261707209,True,0,1,True,False,0,ok,,few_valid_candidates;mostly_buggy
20260814_223034_essay-kbimp,/Users/william/nautilus/results/20260814_223034_essay-kbimp,essay,learning-agency-lab-automated-essay-scoring-2,42,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-14 22:30:34,2026-08-15 10:28:22,11.96,11.28,0,-1.0,12.0,1.0,False,True,34,22,12,0.647,34,0.971,0.8181317035361388,True,0,5,True,False,0,ok,,manual:cache-warm race between concurrent KB arms
20260814_223832_essay-kb,/Users/william/nautilus/results/20260814_223832_essay-kb,essay,learning-agency-lab-automated-essay-scoring-2,42,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-14 22:38:32,2026-08-15 09:57:00,11.31,10.32,0,-1.0,12.0,1.0,False,True,15,8,7,0.533,15,0.867,0.8338180413702786,True,0,2,True,False,0,ok,,manual:cache-warm race between concurrent KB arms
20260815_110637_lmsys-kbimp,/Users/william/nautilus/results/20260815_110637_lmsys-kbimp,,,,,,,,2026-08-15 11:06:37,2026-08-15 11:13:41,0.12,0.0,0,-1.0,0.12,0.01,False,,0,0,0,0.0,0,0.0,,,0,0,False,False,0,invalid,no_journal;insufficient_runtime;log_truncated;no_submission,few_valid_candidates
20260815_110700_lmsys-base,/Users/william/nautilus/results/20260815_110700_lmsys-base,,,,,,,,2026-08-15 11:07:00,2026-08-15 11:07:05,0.0,0.0,0,-1.0,0.0,0.0,False,,0,0,0,0.0,0,0.0,,,0,0,False,False,0,invalid,no_journal;insufficient_runtime;log_truncated;no_submission,few_valid_candidates
20260815_110702_lmsys-kb,/Users/william/nautilus/results/20260815_110702_lmsys-kb,,,,,,,,2026-08-15 11:07:02,2026-08-15 11:11:19,0.07,0.0,0,-1.0,0.07,0.006,False,,0,0,0,0.0,0,0.0,,,0,0,False,False,0,invalid,no_journal;insufficient_runtime;log_truncated;no_submission,few_valid_candidates
20260816_043435_lmsys-kb,/Users/william/nautilus/results/20260816_043435_lmsys-kb,lmsys,lmsys-chatbot-arena,42,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-16 04:34:35,2026-08-16 15:17:12,10.71,9.99,0,-1.0,12.0,1.0,False,False,33,32,1,0.97,33,0.576,1.0864334786457808,False,0,1,True,False,0,ok,,few_valid_candidates;mostly_buggy
20260816_043500_lmsys-kbimp,/Users/william/nautilus/results/20260816_043500_lmsys-kbimp,lmsys,lmsys-chatbot-arena,42,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-16 04:35:00,2026-08-16 07:40:34,3.09,2.39,0,-1.0,3.09,0.258,False,False,22,21,1,0.955,22,1.0,1.024576955699034,False,0,0,False,False,0,invalid,insufficient_runtime;log_truncated;no_submission,few_valid_candidates;mostly_buggy
20260816_043620_lmsys-base,/Users/william/nautilus/results/20260816_043620_lmsys-base,lmsys,lmsys-chatbot-arena,42,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-16 04:36:20,2026-08-16 14:35:35,9.99,4.85,0,-1.0,12.0,1.0,False,False,12,9,3,0.75,12,1.0,1.0366170293491603,False,0,3,True,False,0,ok,,
20260816_062536_essay-kb-s43,/Users/william/nautilus/results/20260816_062536_essay-kb-s43,essay,learning-agency-lab-automated-essay-scoring-2,43,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-16 06:25:37,2026-08-16 18:25:33,12.0,8.98,4611,9.18,9.18,0.765,False,True,52,40,12,0.769,52,0.962,0.8204473071884809,True,0,5,True,False,0,invalid,ratelimit_truncated,
20260816_063351_essay-base-s43,/Users/william/nautilus/results/20260816_063351_essay-base-s43,essay,learning-agency-lab-automated-essay-scoring-2,43,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-16 06:33:51,2026-08-16 18:33:38,12.0,8.78,4341,9.67,9.67,0.806,False,True,15,12,3,0.8,15,1.0,0.8374084085056214,True,0,3,True,False,0,invalid,ratelimit_truncated,
20260816_063352_essay-kbimp-s43,/Users/william/nautilus/results/20260816_063352_essay-kbimp-s43,essay,learning-agency-lab-automated-essay-scoring-2,43,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-16 06:33:52,2026-08-16 18:33:38,12.0,5.23,2991,10.21,10.21,0.851,False,True,15,11,4,0.733,15,1.0,0.8031487348690871,True,0,4,True,False,0,invalid,ratelimit_truncated,
20260816_102136_lmsys-kbimp,/Users/william/nautilus/results/20260816_102136_lmsys-kbimp,lmsys,lmsys-chatbot-arena,42,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-16 10:21:36,2026-08-16 19:46:17,9.41,1.22,3286,5.84,5.84,0.487,False,False,17,16,1,0.941,17,0.706,1.0420779650697445,False,0,0,False,False,0,invalid,ratelimit_truncated;api_starved;no_submission,few_valid_candidates;mostly_buggy
20260817_012246_lmsys-kb,/Users/william/nautilus/results/20260817_012246_lmsys-kb,,,,,,,,2026-08-17 01:22:46,2026-08-17 01:22:46,0.0,0.0,0,-1.0,0.0,0.0,False,,0,0,0,0.0,0,0.0,,,0,0,False,False,0,invalid,no_journal;insufficient_runtime;log_truncated;no_submission,few_valid_candidates
20260817_020727_lmsys-base,/Users/william/nautilus/results/20260817_020727_lmsys-base,,,,,,,,2026-08-17 02:07:27,2026-08-17 02:11:54,0.07,0.0,33,0.0,0.0,0.0,True,,0,0,0,0.0,0,0.0,,,0,0,False,False,0,invalid,no_journal;api_starved;log_truncated;metric_direction_defaulted;no_submission,few_valid_candidates;ratelimit_minor
20260817_020727_lmsys-kb,/Users/william/nautilus/results/20260817_020727_lmsys-kb,,,,,,,,2026-08-17 02:07:27,2026-08-17 02:11:53,0.07,0.0,0,-1.0,0.07,0.006,False,,0,0,0,0.0,0,0.0,,,0,0,False,False,0,invalid,no_journal;insufficient_runtime;log_truncated;no_submission,few_valid_candidates
20260817_022101_lmsys-kb,/Users/william/nautilus/results/20260817_022101_lmsys-kb,lmsys,lmsys-chatbot-arena,42,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-17 02:21:01,2026-08-17 14:06:02,11.75,8.31,0,-1.0,12.0,1.0,False,False,27,21,6,0.778,27,1.0,1.0203293416681023,False,0,4,True,False,0,ok,,
20260817_022101_lmsys-kbimp,/Users/william/nautilus/results/20260817_022101_lmsys-kbimp,lmsys,lmsys-chatbot-arena,42,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-17 02:21:01,2026-08-17 14:16:48,11.93,11.41,0,-1.0,12.0,1.0,False,False,46,44,2,0.957,46,0.609,1.0392852647901578,False,0,2,True,False,0,ok,,mostly_buggy
20260817_022311_lmsys-base,/Users/william/nautilus/results/20260817_022311_lmsys-base,lmsys,lmsys-chatbot-arena,42,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-17 02:23:11,2026-08-17 12:30:28,10.12,9.79,0,-1.0,12.0,1.0,False,False,22,20,2,0.909,22,0.591,1.0328128470889815,False,0,2,True,False,0,ok,,mostly_buggy
20260817_193119_essay-base-s43,/Users/william/nautilus/results/20260817_193119_essay-base-s43,essay,learning-agency-lab-automated-essay-scoring-2,43,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-17 19:31:19,2026-08-18 06:51:09,11.33,11.03,0,-1.0,12.0,1.0,False,True,22,16,6,0.727,22,1.0,0.8205208236762686,True,0,2,True,False,0,ok,,
20260817_193958_essay-kb-s43,/Users/william/nautilus/results/20260817_193958_essay-kb-s43,essay,learning-agency-lab-automated-essay-scoring-2,43,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-17 19:39:58,2026-08-18 04:14:38,8.58,8.13,0,-1.0,12.0,1.0,False,True,13,6,7,0.462,13,1.0,0.830873,True,0,2,True,False,0,ok,,
20260817_193958_essay-kbimp-s43,/Users/william/nautilus/results/20260817_193958_essay-kbimp-s43,essay,learning-agency-lab-automated-essay-scoring-2,43,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-17 19:39:58,2026-08-18 05:05:12,9.42,6.04,0,-1.0,12.0,1.0,False,True,19,8,11,0.421,19,1.0,0.8268316451204505,True,0,2,True,False,0,ok,,
20260817_231316_lmsys-base-s43,/Users/william/nautilus/results/20260817_231316_lmsys-base-s43,lmsys,lmsys-chatbot-arena,43,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-17 23:13:16,2026-08-18 10:31:02,11.3,9.57,0,-1.0,12.0,1.0,False,False,22,18,4,0.818,22,0.909,1.0550740834836125,False,0,2,True,False,0,ok,,
20260817_231430_lmsys-kb-s43,/Users/william/nautilus/results/20260817_231430_lmsys-kb-s43,lmsys,lmsys-chatbot-arena,43,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-17 23:14:30,2026-08-18 11:13:23,11.98,11.41,0,-1.0,12.0,1.0,False,False,26,20,6,0.769,26,0.5,1.0578680233487212,False,0,2,True,False,0,ok,,
20260817_232726_lmsys-kbimp-s43,/Users/william/nautilus/results/20260817_232726_lmsys-kbimp-s43,,,,,,,,2026-08-17 23:27:26,2026-08-18 00:12:36,0.75,0.0,0,-1.0,0.75,0.062,False,,0,0,0,0.0,0,0.0,,,0,0,False,False,0,invalid,no_journal;insufficient_runtime;log_truncated;no_submission,few_valid_candidates
20260818_203923_essay-base-s44,/Users/william/nautilus/results/20260818_203923_essay-base-s44,essay,learning-agency-lab-automated-essay-scoring-2,44,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-18 20:39:24,2026-08-19 08:34:55,11.93,10.14,0,-1.0,12.0,1.0,False,True,19,13,6,0.684,19,1.0,0.8312830841004609,True,0,3,True,False,0,ok,,
20260818_203923_essay-kb-s44,/Users/william/nautilus/results/20260818_203923_essay-kb-s44,essay,learning-agency-lab-automated-essay-scoring-2,44,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-18 20:39:23,2026-08-19 06:32:52,9.89,9.55,0,-1.0,12.0,1.0,False,True,35,25,10,0.714,35,1.0,0.8356105899348639,True,0,5,True,False,0,ok,,
20260818_203923_essay-kbimp-s44,/Users/william/nautilus/results/20260818_203923_essay-kbimp-s44,essay,learning-agency-lab-automated-essay-scoring-2,44,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-18 20:39:24,2026-08-19 08:36:50,11.96,9.74,0,-1.0,12.0,1.0,False,True,23,11,12,0.478,23,1.0,0.8382648012872874,True,0,4,True,False,0,ok,,
20260818_231927_lmsys-kb-s43,/Users/william/nautilus/results/20260818_231927_lmsys-kb-s43,lmsys,lmsys-chatbot-arena,43,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-18 23:19:27,2026-08-19 10:21:21,11.03,9.78,0,-1.0,12.0,1.0,False,False,27,21,6,0.778,27,0.481,1.0360728910910588,False,0,2,True,False,0,ok,,
20260818_232939_lmsys-base-s43,/Users/william/nautilus/results/20260818_232939_lmsys-base-s43,lmsys,lmsys-chatbot-arena,43,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-18 23:29:39,2026-08-19 10:29:44,11.0,10.07,0,-1.0,12.0,1.0,False,False,17,14,3,0.824,17,1.0,1.0370022013196165,False,0,3,True,False,0,ok,,
